timestamp,arbitration_id,extended,remote,error,dlc,data
6.2,0x10000202,1,0,0,8,AAAAAAAAAAA=
6.3,0x10000203,1,0,0,8,VgADADgPeSg=
6.4,0x10000204,1,0,0,8,UijR/3QFXwA=
6.5,0x10000205,1,0,0,8,AQBkZGRkAAA=
6.503,0x10000206,1,0,0,8,AABEFpwY7BM=
6.506,0x10000207,1,0,0,8,AAAAAHUQAAA=
6.509,0x10000208,1,0,0,8,AAAAAAAAAAA=
6.6,0x310,0,0,0,8,AQACAAAAAAA=
6.699,0x50e,0,0,0,8,AAAAAAAAAAA=
6.73,0x10c,0,0,0,8,AQCAAAAAAAA=
6.789,0x12c,0,0,0,8,AggAAHAXAAA=
6.8,0x19f,0,0,0,8,AAAAAHkoAAA=
6.9,0x50f,0,0,0,8,eCguAHcFYAA=
6.921,0x12d,0,0,0,8,AACIE+AuAQA=
7.0,0x1a7,0,0,0,8,AACcGAgARBY=
7.14,0x12a,0,0,0,8,EAAAAAACAAA=
7.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
7.599,0x310,0,0,0,8,AQACAAAAAAA=
7.7,0x50e,0,0,0,8,AAAAAAAAAAA=
7.729,0x10c,0,0,0,8,AQCAAAAAAAA=
7.788,0x12c,0,0,0,8,AggAAHAXAAA=
7.799,0x19f,0,0,0,8,AAAAAHgoAAA=
7.9,0x50f,0,0,0,8,eSgtAHcFXwA=
7.922,0x12d,0,0,0,8,AACIE+AuAQA=
8.0,0x1a7,0,0,0,8,AACcGAgARBY=
8.139,0x12a,0,0,0,8,EAAAAAACAAA=
8.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
8.6,0x310,0,0,0,8,AQACAAAAAAA=
8.699,0x50e,0,0,0,8,AAAAAAAAAAA=
8.728,0x10c,0,0,0,8,AQCAAAAAAAA=
8.788,0x12c,0,0,0,8,AggAAHAXAAA=
8.8,0x19f,0,0,0,8,AAAAAHgoAAA=
8.9,0x50f,0,0,0,8,eCgtAHcFXwA=
8.919,0x12d,0,0,0,8,AACIE+AuAQA=
-0.001,0x1a7,0,0,0,8,AACcGAgARBY=
0.139,0x12a,0,0,0,8,EAAAAAACAAA=
0.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
0.6,0x310,0,0,0,8,AQACAAAAAAA=
